Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Application_Date,Loan_Status
L5395,C1750,Auto Loan,917116,8.09,120,2025-08-18,Approved
L5396,C1500,Personal Loan,507301,14.62,84,2024-01-30,Approved
L5397,C1057,Personal Loan,295456,14.6,120,2025-07-30,Approved
L5398,C1197,Business Loan,3510101,18.25,180,2024-01-24,Default
L5399,C1210,Business Loan,830992,15.04,12,2025-12-23,Default
L5400,C1913,Home Loan,847361,12.42,180,2024-08-09,Approved
L5401,C1901,Business Loan,3242431,16.79,36,2025-08-24,Approved
L5402,C1044,Auto Loan,342513,7.75,36,2025-09-09,Pending
L5403,C1096,Education Loan,114677,11.89,84,2025-11-14,Default
L5404,C1278,Personal Loan,314012,9.95,48,2026-01-11,Approved
L5405,C1534,Personal Loan,657879,7.76,48,2025-08-11,Approved
L5406,C1409,Auto Loan,1577984,15.66,48,2025-08-02,Default
L5407,C1460,Business Loan,1946032,12.63,240,2026-05-26,Rejected
L5408,C1390,Auto Loan,271939,13.18,180,2025-02-04,Approved
L5409,C1846,Personal Loan,327876,11.44,36,2026-05-14,Approved
L5410,C1043,Personal Loan,461742,12.02,12,2025-08-26,Default
L5411,C1026,Business Loan,2144348,7.89,12,2025-05-26,Pending
L5412,C1793,Personal Loan,410701,14.58,12,2024-03-28,Rejected
L5413,C1096,Home Loan,2392023,11.69,48,2025-04-09,Rejected
L5414,C1974,Personal Loan,172366,16.3,84,2024-02-19,Approved
L5415,C1547,Personal Loan,246164,8.86,48,2024-04-12,Pending
L5416,C1620,Auto Loan,992644,8.96,36,2025-01-02,Approved
L5417,C1566,Auto Loan,1739152,14.25,180,2025-05-06,Default
L5418,C1703,Personal Loan,442776,16.65,180,2025-07-11,Approved
L5419,C1218,Personal Loan,389205,12.17,84,2025-11-21,Pending
L5420,C1184,Education Loan,456440,15.22,240,2026-02-17,Approved
L5421,C1068,Personal Loan,798353,18.49,12,2024-09-24,Approved
L5422,C1828,Home Loan,5529124,18.38,180,2025-01-31,Approved
L5423,C1129,Business Loan,2607278,15.43,84,2024-11-15,Rejected
L5424,C1566,Personal Loan,266351,15.38,12,2025-06-03,Pending
L5425,C1889,Business Loan,3774412,9.47,48,2025-03-24,Rejected
L5426,C1608,Personal Loan,153021,16.5,60,2026-02-15,Approved
L5427,C1847,Auto Loan,989703,11.36,120,2025-04-20,Approved
L5428,C1598,Home Loan,2811562,18.04,180,2026-06-16,Default
L5429,C1805,Business Loan,300209,7.48,240,2025-08-12,Rejected
L5430,C1630,Personal Loan,272071,11.73,84,2024-08-27,Rejected
L5431,C1719,Home Loan,4606627,13.17,240,2024-09-14,Rejected
L5432,C1333,Business Loan,3429497,11.36,48,2025-12-08,Rejected
L5433,C1924,Home Loan,3703561,9.03,180,2026-04-21,Approved
L5434,C1153,Home Loan,3258884,13.62,36,2025-10-04,Rejected
L5435,C1546,Personal Loan,380828,15.57,48,2025-01-24,Rejected
L5436,C1078,Auto Loan,1478720,14.24,48,2024-12-08,Pending
L5437,C1578,Personal Loan,317751,9.31,84,2026-02-11,Pending
L5438,C1854,Personal Loan,266194,15.28,240,2026-01-23,Approved
L5439,C1412,Auto Loan,556930,9.58,84,2025-01-21,Approved
L5440,C1545,Personal Loan,438550,8.6,12,2025-01-28,Approved
L5441,C1608,Business Loan,2580163,14.79,60,2025-11-13,Approved
L5442,C1168,Business Loan,3071106,16.61,240,2025-10-20,Approved
L5443,C1680,Auto Loan,1700174,12.28,60,2024-09-26,Pending
L5444,C1662,Education Loan,107399,12.88,84,2024-05-28,Approved
L5445,C1582,Auto Loan,1762818,10.13,36,2025-01-14,Approved
L5446,C1514,Personal Loan,701100,12.44,180,2026-03-21,Pending
L5447,C1313,Education Loan,1042621,8.08,48,2024-01-28,Pending
L5448,C1031,Personal Loan,148662,17.97,48,2024-05-28,Approved
L5449,C1286,Personal Loan,345761,16.1,60,2025-02-23,Rejected
L5450,C1593,Education Loan,762858,14.52,240,2024-10-06,Approved
L5451,C1042,Home Loan,5766896,12.96,180,2024-06-30,Approved
L5452,C1902,Business Loan,3313435,16.01,120,2024-06-14,Approved
L5453,C1616,Personal Loan,423221,12.44,60,2024-01-17,Approved
L5454,C1000,Auto Loan,1234023,10.1,240,2024-05-29,Approved
L5455,C1572,Personal Loan,443545,8.42,240,2024-12-04,Default
L5456,C1269,Auto Loan,500763,14.27,24,2024-02-14,Rejected
L5457,C1179,Education Loan,1155608,17.65,48,2025-05-16,Approved
L5458,C1735,Auto Loan,1548754,8.34,180,2026-04-21,Approved
L5459,C1517,Personal Loan,676946,8.66,12,2024-07-07,Approved
L5460,C1102,Personal Loan,565882,11.7,60,2025-10-12,Rejected
L5461,C1009,Personal Loan,629552,16.18,180,2024-03-01,Pending
L5462,C1582,Auto Loan,247850,10.03,24,2024-10-20,Approved
L5463,C1089,Business Loan,1877586,9.55,24,2026-04-13,Approved
L5464,C1225,Personal Loan,329916,13.94,180,2024-02-02,Rejected
L5465,C1669,Education Loan,448249,12.93,240,2024-10-25,Approved
L5466,C1739,Business Loan,734895,7.22,120,2025-02-18,Approved
L5467,C1916,Home Loan,1786275,7.48,180,2025-09-15,Rejected
L5468,C1125,Auto Loan,204576,14.22,60,2026-03-13,Approved
L5469,C1955,Education Loan,534848,12.08,12,2025-07-02,Approved
L5470,C1208,Personal Loan,615764,18.15,48,2025-03-06,Approved
L5471,C1096,Personal Loan,298292,14.64,24,2025-05-09,Approved
L5472,C1073,Personal Loan,473501,6.62,36,2024-04-09,Pending
L5473,C1626,Business Loan,1110586,12.27,36,2024-01-23,Default
L5474,C1190,Business Loan,3858998,11.47,240,2025-02-23,Pending
L5475,C1681,Education Loan,114439,7.78,48,2025-02-27,Rejected
L5476,C1818,Personal Loan,430355,17.58,24,2025-05-01,Approved
L5477,C1959,Home Loan,4514534,16.16,36,2025-12-30,Rejected
L5478,C1715,Personal Loan,269123,9.26,36,2024-03-29,Default
L5479,C1055,Personal Loan,601250,9.57,120,2024-07-27,Approved
L5480,C1719,Auto Loan,963445,6.88,180,2024-09-27,Approved
L5481,C1552,Business Loan,1648483,10.06,84,2026-01-18,Rejected
L5482,C1031,Business Loan,416189,13.52,48,2026-06-18,Rejected
L5483,C1526,Auto Loan,1358866,11.55,84,2025-02-09,Approved
L5484,C1573,Personal Loan,173980,18.13,12,2025-12-21,Approved
L5485,C1666,Personal Loan,277021,7.17,180,2024-10-04,Rejected
L5486,C1283,Personal Loan,738630,13.6,12,2024-07-24,Approved
L5487,C1720,Education Loan,1190875,16.8,60,2025-08-12,Rejected
L5488,C1831,Education Loan,841165,12.27,24,2024-11-23,Approved
L5489,C1493,Home Loan,831541,6.54,84,2025-09-01,Default
L5490,C1186,Home Loan,1275759,9.41,240,2026-05-07,Approved
L5491,C1497,Personal Loan,797358,10.39,60,2026-05-26,Approved
L5492,C1441,Personal Loan,179188,18.09,48,2026-05-11,Approved
L5493,C1129,Home Loan,1008150,17.44,24,2024-12-01,Approved
L5494,C1638,Personal Loan,526186,17.89,36,2025-08-28,Rejected
L5495,C1291,Home Loan,2658777,16.41,84,2025-08-14,Approved
L5496,C1113,Business Loan,2616225,10.72,180,2024-02-07,Approved
L5497,C1198,Auto Loan,680620,17.37,180,2024-08-15,Approved
L5498,C1012,Personal Loan,594444,18.28,60,2025-04-27,Pending
L5499,C1270,Personal Loan,791196,10.7,60,2024-05-13,Rejected
L5500,C1600,Home Loan,5663099,9.63,36,2025-12-08,Approved
L5501,C1214,Home Loan,5719314,13.06,120,2025-01-24,Rejected
L5502,C1443,Home Loan,1922207,8.75,84,2026-03-04,Pending
L5503,C1789,Home Loan,1624341,6.89,12,2025-09-04,Rejected
L5504,C1511,Auto Loan,793775,17.85,48,2025-02-28,Approved
L5505,C1446,Education Loan,1038972,17.61,84,2025-08-09,Rejected
L5506,C1985,Personal Loan,535825,8.45,84,2026-03-16,Approved
L5507,C1992,Education Loan,409799,11.39,36,2025-05-24,Approved
L5508,C1714,Personal Loan,477557,16.47,84,2025-12-20,Approved
L5509,C1073,Personal Loan,769542,14.43,84,2025-08-17,Approved
L5510,C1536,Auto Loan,1300362,11.24,240,2025-03-02,Approved
L5511,C1100,Auto Loan,268304,15.43,240,2025-10-16,Default
L5512,C1175,Business Loan,665750,17.26,24,2025-04-18,Approved
L5513,C1426,Auto Loan,1426162,17.61,48,2025-07-21,Approved
L5514,C1116,Business Loan,1993802,11.05,240,2024-12-26,Approved
L5515,C1165,Business Loan,3872923,8.58,48,2026-03-09,Approved
L5516,C1040,Auto Loan,684103,17.45,180,2024-07-29,Approved
L5517,C1428,Home Loan,2952259,7.61,36,2024-06-27,Approved
L5518,C1343,Auto Loan,722058,15.16,36,2024-02-27,Approved
L5519,C1423,Business Loan,3690919,8.19,240,2024-03-13,Approved
L5520,C1365,Education Loan,450041,11.17,180,2024-08-02,Approved
L5521,C1119,Personal Loan,122577,11.44,12,2026-06-18,Approved
L5522,C1608,Education Loan,839663,8.41,24,2026-02-16,Rejected
L5523,C1656,Personal Loan,454062,17.57,36,2024-03-13,Rejected
L5524,C1727,Home Loan,5255237,6.53,24,2025-04-11,Approved
L5525,C1228,Personal Loan,678468,17.23,36,2024-09-27,Approved
L5526,C1824,Auto Loan,482068,17.11,180,2025-05-13,Approved
L5527,C1129,Business Loan,3819065,10.3,84,2024-12-19,Default
L5528,C1351,Personal Loan,719242,14.95,120,2024-08-21,Approved
L5529,C1888,Personal Loan,785634,9.53,84,2024-11-14,Approved
L5530,C1317,Personal Loan,51095,15.61,12,2024-01-19,Approved
L5531,C1983,Auto Loan,566349,13.23,36,2025-09-16,Approved
L5532,C1648,Personal Loan,746343,10.1,12,2025-07-28,Approved
L5533,C1835,Personal Loan,588411,11.3,240,2025-01-06,Rejected
L5534,C1336,Personal Loan,536884,14.78,240,2024-07-02,Approved
L5535,C1272,Home Loan,3619127,17.37,60,2024-10-03,Default
L5536,C1116,Personal Loan,538409,8.07,48,2025-11-04,Approved
L5537,C1817,Education Loan,931710,13.36,240,2026-01-24,Approved
L5538,C1367,Personal Loan,101999,9.54,240,2024-05-24,Default
L5539,C1093,Auto Loan,1529064,16.12,36,2025-10-19,Pending
L5540,C1167,Personal Loan,611944,7.34,60,2024-03-21,Approved
L5541,C1953,Home Loan,1063356,14.77,36,2024-11-17,Approved
L5542,C1714,Personal Loan,694673,8.6,24,2025-03-10,Pending
L5543,C1340,Auto Loan,340073,13.66,12,2026-04-12,Approved
L5544,C1660,Business Loan,1427360,16.53,24,2024-02-12,Approved
L5545,C1913,Business Loan,3282307,15.56,180,2024-11-08,Pending
L5546,C1694,Auto Loan,543288,15.54,180,2024-10-19,Approved
L5547,C1924,Home Loan,2802507,12.71,36,2025-11-18,Approved
L5548,C1151,Education Loan,655656,17.19,120,2026-06-06,Approved
L5549,C1585,Auto Loan,1309736,13.56,120,2024-03-09,Approved
L5550,C1876,Personal Loan,731214,17.51,24,2024-02-25,Pending
L5551,C1912,Education Loan,372859,13.06,240,2025-09-22,Approved
L5552,C1273,Home Loan,5577376,12.57,36,2024-07-22,Pending
L5553,C1553,Personal Loan,441337,9.17,24,2025-02-23,Approved
L5554,C1495,Personal Loan,411788,13.04,36,2025-07-20,Approved
L5555,C1723,Personal Loan,76797,8.19,24,2025-07-03,Approved
L5556,C1100,Home Loan,2158293,16.94,180,2024-08-30,Rejected
L5557,C1556,Personal Loan,589068,14.61,60,2024-07-19,Default
L5558,C1081,Personal Loan,612193,18.42,36,2026-01-17,Approved
L5559,C1528,Personal Loan,690337,7.61,60,2025-04-18,Approved
L5560,C1072,Auto Loan,853939,9.39,180,2025-06-10,Approved
L5561,C1013,Education Loan,428206,17.03,120,2025-10-17,Rejected
L5562,C1432,Personal Loan,647679,11.24,84,2024-03-17,Approved
L5563,C1156,Personal Loan,355607,12.1,12,2025-04-22,Rejected
L5564,C1734,Personal Loan,149596,16.83,12,2026-03-31,Approved
L5565,C1131,Business Loan,3278602,12.76,12,2025-03-15,Approved
L5566,C1337,Home Loan,2651579,8.82,180,2024-09-19,Approved
L5567,C1403,Home Loan,1474502,17.2,180,2024-07-03,Approved
L5568,C1375,Personal Loan,58625,6.87,120,2024-02-24,Rejected
L5569,C1887,Auto Loan,1549919,17.24,84,2024-11-03,Rejected
L5570,C1558,Home Loan,4328597,7.11,48,2025-05-30,Approved
L5571,C1106,Personal Loan,459142,14.49,12,2024-10-25,Approved
L5572,C1619,Personal Loan,343362,7.36,240,2025-07-05,Approved
L5573,C1264,Home Loan,1971758,14.97,12,2024-08-17,Pending
L5574,C1204,Business Loan,3990582,6.91,48,2025-01-11,Approved
L5575,C1078,Business Loan,1381781,16.61,36,2024-10-12,Approved
L5576,C1154,Auto Loan,1357660,12.09,120,2024-05-17,Approved
L5577,C1782,Auto Loan,229717,7.62,60,2025-04-22,Approved
L5578,C1987,Personal Loan,755344,14.98,60,2025-09-06,Approved
L5579,C1996,Auto Loan,1093724,12.37,48,2024-01-07,Approved
L5580,C1246,Auto Loan,1142639,8.79,12,2025-11-06,Approved
L5581,C1530,Personal Loan,733524,6.69,60,2025-02-22,Rejected
L5582,C1857,Business Loan,1291993,11.52,48,2025-04-16,Approved
L5583,C1947,Personal Loan,350706,7.53,180,2025-02-23,Approved
L5584,C1537,Personal Loan,512326,7.63,24,2026-05-26,Rejected
L5585,C1728,Auto Loan,220169,9.71,180,2024-10-02,Approved
L5586,C1153,Auto Loan,1177362,14.07,12,2025-07-14,Rejected
L5587,C1153,Auto Loan,1008036,12.86,48,2025-08-30,Approved
L5588,C1685,Personal Loan,401814,7.33,36,2025-07-24,Approved
L5589,C1091,Business Loan,2773901,18.12,60,2026-01-12,Approved
L5590,C1432,Home Loan,4296610,17.15,60,2025-11-19,Approved
L5591,C1337,Home Loan,3549580,9.61,60,2024-03-30,Pending
L5592,C1479,Business Loan,402537,7.97,48,2024-10-08,Approved
L5593,C1692,Education Loan,735589,17.81,180,2025-07-01,Approved
L5594,C1130,Personal Loan,320151,12.03,36,2024-06-19,Approved
L5595,C1449,Education Loan,1001347,10.23,48,2025-09-29,Approved
L5596,C1992,Personal Loan,281704,12.38,12,2026-03-21,Approved
L5597,C1809,Personal Loan,167419,15.77,120,2024-12-20,Approved
L5598,C1786,Home Loan,3650310,8.52,12,2024-07-22,Approved
L5599,C1272,Business Loan,1092214,15.71,24,2024-10-15,Pending
L5600,C1928,Personal Loan,641058,15.49,120,2026-05-17,Approved
L5601,C1587,Auto Loan,1479372,12.97,12,2025-04-06,Rejected
L5602,C1176,Personal Loan,591440,16.89,36,2025-08-31,Pending
L5603,C1695,Auto Loan,1772730,8.09,84,2026-01-19,Approved
L5604,C1830,Home Loan,1248402,13.65,84,2024-06-21,Pending
L5605,C1642,Auto Loan,552699,11.89,84,2024-10-27,Rejected
L5606,C1874,Personal Loan,266096,11.57,24,2025-08-22,Approved
L5607,C1048,Education Loan,858019,9.53,24,2026-05-12,Default
L5608,C1566,Business Loan,581833,10.97,84,2025-06-12,Approved
L5609,C1665,Auto Loan,1735834,7.8,60,2024-05-19,Approved
L5610,C1354,Home Loan,3242547,9.52,120,2026-02-04,Rejected
L5611,C1711,Business Loan,1536968,9.76,120,2024-10-04,Approved
L5612,C1307,Personal Loan,761451,15.15,60,2025-10-24,Approved
L5613,C1867,Auto Loan,1617285,7.08,180,2025-05-25,Approved
L5614,C1884,Business Loan,1821093,14.31,84,2024-12-11,Rejected
L5615,C1629,Personal Loan,88712,9.16,60,2026-04-25,Rejected
L5616,C1774,Home Loan,5775979,7.48,48,2024-05-19,Approved
L5617,C1045,Personal Loan,286502,10.11,120,2024-04-23,Default
L5618,C1301,Auto Loan,1444925,9.19,48,2025-08-02,Approved
L5619,C1867,Auto Loan,1560352,13.12,60,2025-05-21,Approved
L5620,C1911,Personal Loan,594766,10.79,60,2024-12-31,Rejected
L5621,C1407,Home Loan,822551,18.09,12,2025-11-21,Rejected
L5622,C1188,Personal Loan,98068,18.06,12,2025-09-28,Approved
L5623,C1821,Home Loan,893608,11.82,36,2025-01-31,Approved
L5624,C1829,Personal Loan,609849,16.04,36,2026-04-04,Pending
L5625,C1128,Business Loan,3579692,6.66,24,2026-04-02,Default
L5626,C1560,Personal Loan,336539,13.07,24,2026-04-29,Rejected
L5627,C1536,Business Loan,1891620,15.42,84,2026-05-24,Approved
L5628,C1265,Auto Loan,447652,9.1,12,2026-05-19,Default
L5629,C1117,Personal Loan,301227,7.23,84,2026-01-14,Pending
L5630,C1463,Auto Loan,528477,8.37,60,2025-10-20,Approved
L5631,C1143,Home Loan,3364113,11.8,84,2024-04-20,Pending
L5632,C1441,Home Loan,5494059,12.58,60,2026-05-24,Pending
L5633,C1199,Personal Loan,754666,11.07,120,2024-12-23,Default
L5634,C1156,Home Loan,4845721,11.78,12,2024-08-25,Pending
L5635,C1486,Personal Loan,561984,12.14,36,2024-01-03,Rejected
L5636,C1859,Personal Loan,484034,15.73,84,2025-12-23,Approved
L5637,C1133,Home Loan,3889809,7.76,12,2025-02-07,Approved
L5638,C1911,Personal Loan,529456,15.73,120,2024-01-25,Rejected
L5639,C1147,Personal Loan,177192,14.76,48,2026-04-22,Rejected
L5640,C1335,Personal Loan,379572,15.4,36,2025-05-23,Default
L5641,C1070,Personal Loan,375499,15.31,240,2025-11-26,Approved
L5642,C1232,Personal Loan,501457,12.15,12,2025-04-09,Approved
L5643,C1333,Business Loan,762176,9.04,180,2024-03-01,Approved
L5644,C1810,Personal Loan,288826,12.94,12,2025-05-22,Rejected
L5645,C1665,Auto Loan,950782,18.0,60,2024-05-02,Rejected
L5646,C1089,Personal Loan,531809,13.56,180,2025-05-11,Approved
L5647,C1333,Business Loan,1534832,6.63,84,2024-02-24,Approved
L5648,C1198,Personal Loan,222905,7.22,120,2024-06-11,Approved
L5649,C1160,Business Loan,693781,18.41,180,2025-11-29,Approved
L5650,C1537,Auto Loan,1266978,7.36,84,2024-02-08,Rejected
L5651,C1120,Personal Loan,223917,7.05,84,2025-11-27,Approved
L5652,C1300,Business Loan,3458562,10.74,84,2024-03-23,Approved
L5653,C1723,Home Loan,3489290,18.13,60,2025-12-07,Approved
L5654,C1574,Personal Loan,87180,10.32,180,2025-06-29,Approved
L5655,C1962,Education Loan,733976,11.42,24,2024-04-22,Rejected
L5656,C1435,Business Loan,3652387,14.11,120,2025-02-28,Approved
L5657,C1067,Home Loan,4743855,6.79,48,2024-08-17,Pending
L5658,C1764,Personal Loan,177135,17.27,12,2024-10-09,Approved
L5659,C1921,Education Loan,254195,12.73,60,2024-10-13,Approved
L5660,C1458,Auto Loan,797726,12.1,36,2024-06-03,Approved
L5661,C1513,Business Loan,935779,16.83,48,2024-06-13,Rejected
L5662,C1397,Auto Loan,722741,17.94,120,2024-06-30,Approved
L5663,C1619,Personal Loan,460789,11.58,60,2024-08-26,Pending
L5664,C1285,Business Loan,657054,8.57,48,2025-10-10,Approved
L5665,C1560,Personal Loan,106494,16.29,12,2024-12-04,Approved
L5666,C1139,Personal Loan,455504,11.34,84,2025-05-26,Rejected
L5667,C1729,Home Loan,2681986,17.73,84,2024-09-22,Default
L5668,C1555,Auto Loan,1189924,17.9,120,2024-07-05,Approved
L5669,C1928,Personal Loan,429989,7.88,12,2024-02-09,Approved
L5670,C1780,Education Loan,831455,17.98,48,2026-04-01,Approved
L5671,C1589,Home Loan,1903248,10.92,240,2025-05-07,Approved
L5672,C1727,Home Loan,2434685,14.26,84,2025-11-09,Default
L5673,C1893,Education Loan,169224,6.92,24,2025-01-25,Approved
L5674,C1609,Home Loan,1829922,17.17,48,2024-09-16,Approved
L5675,C1747,Personal Loan,284745,14.2,84,2025-10-16,Default
L5676,C1281,Personal Loan,104796,14.22,48,2025-12-16,Pending
L5677,C1660,Business Loan,3883650,17.33,120,2024-06-24,Approved
L5678,C1923,Personal Loan,702842,12.6,36,2026-02-12,Pending
L5679,C1815,Home Loan,3163319,11.43,84,2026-02-02,Approved
L5680,C1995,Home Loan,2618222,16.89,48,2024-11-24,Approved
L5681,C1935,Home Loan,3635148,15.41,36,2024-07-18,Pending
L5682,C1577,Personal Loan,217807,17.89,36,2025-12-11,Approved
L5683,C1745,Home Loan,1363506,17.78,24,2024-07-14,Approved
L5684,C1456,Home Loan,5924021,11.09,36,2026-04-05,Approved
L5685,C1086,Business Loan,3940463,11.86,12,2025-08-11,Rejected
L5686,C1078,Personal Loan,565729,9.57,36,2025-06-14,Approved
L5687,C1204,Home Loan,3712044,14.43,240,2024-03-02,Approved
L5688,C1790,Home Loan,5845416,10.87,48,2024-11-22,Rejected
L5689,C1336,Home Loan,2883805,15.93,36,2024-10-07,Approved
L5690,C1253,Auto Loan,1279593,7.96,180,2026-01-31,Rejected
L5691,C1303,Personal Loan,404182,7.9,12,2024-08-14,Pending
L5692,C1379,Personal Loan,593803,8.95,60,2025-09-30,Approved
L5693,C1129,Auto Loan,1671783,7.51,12,2024-02-27,Approved
L5694,C1595,Home Loan,3298002,13.94,120,2025-04-21,Approved
L5695,C1275,Home Loan,2842532,8.27,60,2025-01-10,Approved
L5696,C1698,Personal Loan,575679,8.42,24,2025-12-16,Pending
L5697,C1557,Personal Loan,770566,6.67,12,2024-08-30,Approved
L5698,C1898,Personal Loan,683676,15.89,120,2025-01-01,Approved
L5699,C1182,Personal Loan,354359,16.25,12,2026-04-23,Approved
L5700,C1267,Auto Loan,804008,8.44,36,2025-05-14,Approved
L5701,C1807,Business Loan,589258,15.37,84,2026-04-17,Approved
L5702,C1321,Personal Loan,717242,11.7,84,2024-09-08,Pending
L5703,C1511,Personal Loan,722633,9.38,120,2024-11-17,Approved
L5704,C1611,Personal Loan,418350,13.96,12,2025-01-10,Rejected
L5705,C1077,Home Loan,4515663,8.64,120,2025-02-12,Approved
L5706,C1783,Personal Loan,525881,15.58,24,2025-12-11,Approved
L5707,C1338,Business Loan,2068828,7.07,84,2025-05-02,Approved
L5708,C1673,Auto Loan,766967,18.01,180,2024-12-08,Rejected
L5709,C1555,Business Loan,1611147,7.36,60,2024-08-27,Approved
L5710,C1508,Business Loan,2987707,13.45,36,2024-05-18,Approved
L5711,C1237,Home Loan,2897951,17.33,180,2024-05-01,Approved
L5712,C1133,Home Loan,2336201,6.64,180,2025-02-23,Rejected
L5713,C1972,Personal Loan,581313,12.48,48,2025-07-14,Approved
L5714,C1191,Home Loan,1338769,10.7,180,2024-10-30,Approved
L5715,C1355,Business Loan,587555,13.46,60,2024-04-24,Pending
L5716,C1277,Personal Loan,680216,9.21,60,2024-12-08,Pending
L5717,C1017,Business Loan,3044454,7.28,36,2024-09-07,Approved
L5718,C1523,Personal Loan,458177,14.01,120,2024-01-07,Approved
L5719,C1179,Business Loan,1763559,11.5,240,2025-12-31,Approved
L5720,C1122,Business Loan,814111,13.97,240,2025-08-11,Rejected
L5721,C1245,Auto Loan,1300266,9.03,12,2024-06-27,Pending
L5722,C1733,Auto Loan,777158,10.56,12,2024-05-24,Approved
L5723,C1372,Home Loan,3921192,13.24,60,2025-02-19,Rejected
L5724,C1050,Business Loan,3088647,13.62,12,2025-10-27,Approved
L5725,C1999,Business Loan,2330594,10.97,48,2024-04-30,Approved
L5726,C1070,Education Loan,186928,9.86,12,2024-05-03,Rejected
L5727,C1479,Auto Loan,1770497,9.78,24,2024-05-29,Default
L5728,C1559,Auto Loan,934158,8.6,24,2025-01-31,Approved
L5729,C1018,Business Loan,2992205,10.4,48,2025-01-15,Approved
L5730,C1773,Home Loan,1605231,8.89,180,2026-02-18,Approved
L5731,C1083,Education Loan,754229,14.11,24,2026-04-18,Default
L5732,C1154,Home Loan,3969283,13.33,240,2024-01-01,Rejected
L5733,C1564,Personal Loan,439363,11.09,240,2025-11-03,Approved
L5734,C1618,Home Loan,3279129,10.41,24,2024-08-31,Approved
L5735,C1356,Home Loan,1655434,9.35,12,2026-06-05,Pending
L5736,C1815,Personal Loan,358697,12.93,240,2025-02-01,Pending
L5737,C1646,Personal Loan,315232,17.53,24,2024-09-07,Rejected
L5738,C1442,Home Loan,4515799,14.73,180,2026-05-28,Approved
L5739,C1068,Personal Loan,575403,15.43,36,2025-07-29,Approved
L5740,C1522,Personal Loan,773486,16.51,12,2024-10-25,Approved
L5741,C1142,Education Loan,172908,10.72,12,2026-01-29,Rejected
L5742,C1191,Business Loan,1941973,7.25,24,2024-10-23,Approved
L5743,C1386,Auto Loan,571087,13.97,120,2025-05-14,Rejected
L5744,C1377,Business Loan,309422,8.76,84,2024-04-24,Approved
L5745,C1580,Auto Loan,374698,13.33,24,2026-03-17,Rejected
L5746,C1534,Personal Loan,663521,15.37,48,2024-01-01,Approved
L5747,C1692,Auto Loan,1042606,15.9,24,2025-07-06,Approved
L5748,C1292,Auto Loan,1738148,10.12,12,2025-11-15,Approved
L5749,C1008,Home Loan,4671549,12.65,36,2025-08-22,Approved
L5750,C1270,Personal Loan,500415,13.95,48,2025-04-26,Approved
L5751,C1386,Auto Loan,1641008,16.33,60,2025-09-01,Pending
L5752,C1092,Personal Loan,703288,15.64,60,2025-08-22,Approved
L5753,C1965,Auto Loan,1633498,18.36,120,2026-02-01,Approved
L5754,C1528,Personal Loan,603718,6.6,180,2025-05-24,Approved
L5755,C1153,Auto Loan,228834,11.75,240,2024-11-30,Approved
L5756,C1404,Home Loan,1348723,9.57,120,2025-04-09,Approved
L5757,C1839,Personal Loan,137212,7.94,60,2024-05-20,Approved
L5758,C1148,Home Loan,2428661,17.44,240,2025-08-05,Approved
L5759,C1888,Auto Loan,636770,18.48,180,2024-05-16,Approved
L5760,C1266,Business Loan,878843,8.67,240,2025-09-02,Rejected
L5761,C1421,Business Loan,385350,6.96,180,2025-10-24,Approved
L5762,C1839,Home Loan,5009020,9.8,84,2025-11-17,Approved
L5763,C1617,Auto Loan,1308837,16.52,48,2024-06-15,Approved
L5764,C1471,Personal Loan,596702,10.03,240,2024-12-08,Pending
L5765,C1892,Personal Loan,719204,7.18,240,2025-02-13,Rejected
L5766,C1546,Personal Loan,742019,7.13,240,2026-02-07,Rejected
L5767,C1630,Auto Loan,1264098,11.63,36,2026-01-05,Approved
L5768,C1525,Personal Loan,548665,17.68,36,2026-05-29,Pending
L5769,C1502,Personal Loan,441776,9.93,84,2026-04-21,Approved
L5770,C1013,Auto Loan,529782,11.63,84,2024-03-05,Approved
L5771,C1777,Auto Loan,1087766,7.72,84,2025-08-03,Approved
L5772,C1651,Home Loan,2512460,12.42,60,2024-03-07,Approved
L5773,C1805,Personal Loan,605134,14.86,60,2025-03-08,Default
L5774,C1363,Home Loan,5854379,9.75,24,2024-02-19,Approved
L5775,C1118,Home Loan,4947036,10.06,120,2024-11-09,Default
L5776,C1237,Auto Loan,1535119,16.6,48,2024-11-04,Rejected
L5777,C1545,Personal Loan,780520,6.62,36,2025-08-25,Approved
L5778,C1168,Auto Loan,423734,14.14,180,2024-04-24,Approved
L5779,C1521,Business Loan,1348278,11.23,48,2026-06-04,Approved
L5780,C1633,Personal Loan,794027,10.08,48,2025-07-22,Default
L5781,C1912,Business Loan,423182,14.39,180,2024-12-07,Approved
L5782,C1656,Home Loan,5042895,16.52,12,2025-06-13,Rejected
L5783,C1962,Personal Loan,201786,13.2,240,2026-02-22,Default
L5784,C1957,Home Loan,4243749,6.87,120,2025-10-03,Approved
L5785,C1734,Personal Loan,134106,12.04,24,2025-05-09,Approved
L5786,C1882,Personal Loan,652306,12.05,84,2024-09-25,Rejected
L5787,C1768,Home Loan,3259150,13.03,180,2024-03-20,Approved
L5788,C1779,Education Loan,264486,14.55,60,2025-03-31,Approved
L5789,C1870,Business Loan,1993696,6.73,84,2024-10-25,Approved
L5790,C1515,Auto Loan,810864,12.52,180,2026-04-01,Approved
L5791,C1937,Personal Loan,784303,13.56,84,2024-07-20,Rejected
